正字,異体字
埼,嵜
崎,嵜
嵜,碕
嵯,嵳
嵯,嵳
島,嶋
嶋,嶌
嶋,陦
嶋,嶌
島,嶌
嶌,陦
岳,嶽
巌,巖
巌,巖
巛,川
巛,川
卮,巵
卷,巻
帋,紙
帚,箒
帚,菷
帯,帶
帰,歸
帰,皈
帯,帶
幣,幤
幣,幤
广,庵
广,菴
庁,廳
庁,廰
広,廣
宏,広
広,弘
広,昿
広,曠
坐,座
广,庵
庵,菴
厠,廁
廃,廢
厦,廈
厩,廏
廏,廐
厩,廐
廏,廐
厨,廚
厘,廛
壥,廛
厮,廝
厰,廠
廃,廢
宏,廣
広,廣
廣,弘
廣,昿
廣,曠
廰,廳
庁,廰
庁,廳
廰,廳
廸,迪
廻,恢
囘,廻
回,廻
廻,蛔
廻,迴
廼,迺
弁,辨
弁,辧
弁,辯
弁,瓣
弃,棄
弃,毀
奘,弉
一,弌
壱,弌
壹,弌
二,弍
弍,弐
弍,貮
弍,貳
二,弐
弍,弐
弐,貮
弐,貳
廣,弘
宏,弘
広,弘
弘,昿
弘,曠
弥,彌
弯,彎
弯,湾
弯,灣
弾,彈
弾,彈
弥,彌
弯,彎
彎,湾
彎,灣
当,當
彜,彝
彜,彝
彬,斌
彿,髴
往,徃
往,徃
径,徑
径,逕
径,徑
徑,逕
従,從
从,従
从,從
従,從
來,徠
徠,来
徳,悳
応,應
忰,悴
怪,恠
恆,恒
協,恊
叶,恊
恋,戀
恆,恒
怪,恠
囘,恢
回,恢
廻,恢
恢,蛔
恢,迴
恥,耻
恵,惠
恵,慧
恷,烋
悩,惱
悪,惡
悪,惡
徳,悳
忰,悴
恵,惠
惠,慧
悪,惡
惣,綜
惣,総
惣,總
惧,懼
惨,慘
悩,惱
愈,瘉
愈,癒
愼,慎
博,愽
愼,慎
惨,慘
慙,慚
慙,慚
惠,慧
恵,慧
憇,憩
凭,憑
憇,憩
応,應
懐,懷
懐,潰
懴,懺
懐,懷
懷,潰
懴,懺
惧,懼
恋,戀
戛,戞
戝,財
戝,賊
戛,戞
戦,戰
戯,戲
戦,戰
戯,戲
処,所
所,處
払,拂
托,託
扞,捍
扠,扨
扠,扨
呈,抂
抂,狂
抒,敍
叙,抒
抒,敘
抜,拔
択,擇
抬,擡
払,拂
担,擔
拏,拿
抜,拔
拜,拝
拜,拝
拠,據
拡,擴
拏,拿
挙,擧
挙,舉
挟,挾
挧,栩
挟,挾
挿,插
扞,捍
捜,搜
掠,略
掠,畧
揀,柬
挿,插
揺,搖
揺,搖
捜,搜
携,攜
摂,攝
摧,碎
摧,砕
摸,模
摸,糢
労,撈
勞,撈
撹,攪
專,擅
専,擅
択,擇
担,擔
拠,據
抬,擡
挙,擧
擧,舉
拡,擴
携,攜
摂,攝
撹,攪
攴,攵
攴,攵
収,收
收,聚
收,蒐
收,輯
收,集
効,效
叙,敍
抒,敍
敍,敘
勅,敕
敍,敘
叙,敘
抒,敘
数,數
数,數
学,斈
學,斈
斉,齊
彬,斌
斎,齋
断,斷
断,斷
旗,籏
旙,旛
旙,旛
无,無
旧,舊
昜,暘
映,暎
昼,晝
廣,昿
宏,昿
広,昿
弘,昿
昿,曠
晃,晄
晃,晄
晉,晋
晉,晋
昼,晝
晧,皓
暁,曉
暃,罪
映,暎
昜,暘
暸,瞭
暁,曉
曖,瞹
廣,曠
宏,曠
広,曠
弘,曠
昿,曠
曳,曵
曳,曵
曽,曾
曽,曾
会,會
朖,朗
朖,朗
朞,期
朞,期
夲,本
几,机
杆,桿
杉,椙
村,邨
杠,槓
条,條
杤,栃
來,来
徠,来
杯,盃
傑,杰
松,枩
枡,桝
枢,樞
枦,櫨
松,枩
凅,枯
枯,涸
柁,舵
柏,栢
柩,柾
揀,柬
柩,柾
杤,栃
栄,榮
栖,棲
栖,生
柏,栢
挧,栩
桜,櫻
枡,桝
桟,棧
桧,檜
杆,桿
梁,簗
梅,楳
条,條
夢,梦
梹,檳
梼,檮
弃,棄
棄,毀
棉,綿
棉,緜
棊,棋
棊,棋
棕,椶
棟,楝
桟,棧
栖,棲
棲,生
椁,槨
杉,椙
検,檢
棕,椶
楕,橢
棟,楝
梅,楳
楼,樓
楽,樂
栄,榮
槇,槙
杠,槓
様,樣
槇,槙
椁,槨
楽,樂
樒,櫁
楼,樓
枢,樞
摸,模
模,糢
様,樣
権,權
墫,樽
楕,橢
檐,簷
檗,蘗
桧,檜
検,檢
檪,櫟
梼,檮
梹,檳
樒,櫁
櫑,罍
檪,櫟
枦,櫨
桜,櫻
権,權
欝,鬱
欠,歇
欠,缺
欧,歐
欠,歇
歇,缺
哥,歌
歌,謌
欧,歐
歓,歡
歓,驩
歓,歡
歡,驩
歯,齒
帰,歸
歸,皈
残,殘
残,殘
殱,殲
殱,殲
殴,毆
殻,殼
殻,殼
弃,毀
棄,毀
殴,毆
毓,育
气,氣
气,気
気,氣
气,気
气,氣
気,氣
冫,氷
冰,氷
汎,笵
汎,範
决,決
決,訣
決,蹶
冱,沍
冴,沍
沒,没
沓,踏
沓,蹈
冲,沖
沒,没
沢,澤
况,況
泉,湶
泝,溯
泝,遡
泪,涙
冽,洌
活,濶
活,闊
浄,淨
浄,滌
浅,淺
浜,濱
浣,澣
涌,湧
泪,涙
涛,濤
凅,涸
枯,涸
凉,涼
凄,淒
浄,淨
淨,滌
婬,淫
淵,渊
淵,渕
浅,淺
済,濟
淵,渊
渊,渕
渋,澁
渋,澀
渓,溪
渓,谿
淵,渕
渊,渕
涌,湧
泉,湶
弯,湾
彎,湾
湾,灣
湿,濕
満,滿
溌,発
溌,發
溌,醗
凖,準
溜,澑
溜,畄
溜,留
渓,溪
溪,谿
泝,溯
溯,遡
溶,熔
溶,鎔
淨,滌
浄,滌
滝,瀧
滞,滯
滞,滯
満,滿
潅,濯
潅,灌
潛,潜
潛,濳
潛,潜
潜,濳
潟,瀉
懷,潰
懐,潰
潴,瀦
澀,澁
渋,澀
渋,澁
澀,澁
澂,澄
澂,澄
溜,澑
澑,畄
澑,留
浣,澣
沢,澤
湿,濕
済,濟
涛,濤
乱,濫
亂,濫
濫,燗
濫,爛
潅,濯
濯,灌
浜,濱
潛,濳
潜,濳
活,濶
濶,闊
濾,瀘
潟,瀉
濾,瀘
潴,瀦
滝,瀧
潅,灌
濯,灌
弯,灣
彎,灣
湾,灣
灯,燈
炉,爐
炯,烱
点,點
為,爲
恷,烋
烟,煙
炯,烱
无,無
焼,燒
烟,煙
熏,燻
熏,薫
溶,熔
熔,鎔
灯,燈
焼,燒
乱,燗
亂,燗
濫,燗
燗,爛
営,營
熏,燻
燻,薫
燿,耀
爍,鑠
炉,爐
乱,爛
亂,爛
濫,爛
燗,爛
争,爭
為,爲
俎,爼
尓,爾
墻,牆
牆,障
牋,箋
犁,犂
犁,犂
奔,犇
犠,犧
犠,犧
犲,豺
犹,猶
呈,狂
抂,狂
狢,貉
独,獨
狭,狹
狸,貍
狭,狹
猊,貎
猟,獵
猪,豬
献,獻
犹,猶
奬,獎
奨,獎
獏,貘
獣,獸
独,獨
猟,獵
獣,獸
献,獻
珍,珎
珍,珎
圭,珪
珱,瓔
琅,瑯
琉,瑠
琉,璢
瑙,碯
琉,瑠
瑠,璢
瑤,瑶
琅,瑯
瑤,瑶
琉,璢
瑠,璢
珱,瓔
弁,瓣
瓣,辧
瓣,辨
瓣,辯
甎,磚
甚,盡
尽,甚
嘗,甞
栖,生
棲,生
町,甼
劃,画
画,畫
町,甼
溜,畄
澑,畄
畄,留
畆,畝
畊,耕
堺,界
界,畍
堺,畍
界,畍
畑,畠
溜,留
澑,留
畄,留
畆,畝
畑,畠
掠,略
略,畧
掠,畧
略,畧
劃,畫
画,畫
畳,疊
畳,疂
畳,疉
畴,疇
当,當
奇,畸
畸,竒
畸,綺
疂,疊
畳,疂
疂,疉
畴,疇
疉,疊
畳,疉
疂,疉
畳,疊
疂,疊
疉,疊
疎,疏
疎,踈
疎,疏
疏,踈
疣,肬
包,疱
疱,皰
疱,靤
痲,痳
痲,痳
痴,癡
愈,瘉
瘉,癒
愈,癒
瘉,癒
痴,癡
溌,発
発,發
発,醗
溌,發
発,發
發,醗
帰,皈
歸,皈
皋,皐
皋,皐
晧,皓
包,皰
疱,皰
皰,靤
皷,鼓
皸,皹
皸,皹
杯,盃
盖,葢
盖,蓋
盗,盜
盗,盜
尽,盡
甚,盡
盪,蘯
県,縣
眞,真
眞,真
眥,眦
眥,眦
睹,覩
叡,睿
睿,英
暸,瞭
曖,瞹
砕,碎
摧,砕
砧,碪
砺,礪
砿,礦
砿,鉱
砿,鑛
害,碍
碍,礙
摧,碎
砕,碎
埼,碕
崎,碕
嵜,碕
砧,碪
瑙,碯
甎,磚
害,礙
碍,礙
砿,礦
礦,鉱
礦,鑛
砺,礪
礼,禮
祕,秘
祢,禰
祢,袮
祿,禄
禀,稟
祿,禄
禅,禪
禅,禪
礼,禮
禰,袮
祢,禰
厶,私
秋,穐
秋,龝
秕,粃
祕,秘
称,稱
稚,穉
禀,稟
称,稱
稲,稻
稲,稻
稾,稿
稾,藁
稾,稿
稿,藁
穂,穗
稚,穉
穎,頴
穏,穩
秋,穐
穐,龝
穂,穗
穣,穰
穏,穩
穣,穰
窃,竊
窓,窗
窓,窗
窯,窰
窯,窰
竃,竈
竃,竈
窃,竊
奇,竒
畸,竒
竒,綺
佇,竚
竜,龍
並,竝
竪,豎
競,竸
競,竸
笋,筍
汎,笵
笵,範
笋,筍
筐,筺
筝,箏
筱,篠
筐,筺
箆,篦
か,箇
が,箇
カ,箇
ケ,箇
ヵ,箇
ヶ,箇
个,箇
個,箇
牋,箋
筝,箏
帚,箒
箒,菷
箘,箟
剳,箚
箘,箟
汎,範
笵,範
嵌,篏
筱,篠
箆,篦
篭,籠
簑,簔
簑,蓑
簑,簔
簔,蓑
梁,簗
檐,簷
旗,籏
籐,籘
籔,薮
籔,藪
籖,籤
籐,籘
篭,籠
籖,籤
籥,龠
秕,粃
粋,粹
粋,萃
粘,黏
粛,肅
粥,鬻
妝,粧
粮,糧
粋,粹
粹,萃
摸,糢
模,糢
粮,糧
糸,絲
糺,糾
糺,糾
帋,紙
累,縲
経,經
糸,絲
絵,繪
綉,繍
経,經
継,繼
続,續
惣,綜
綜,総
綜,總
綫,線
奇,綺
畸,綺
竒,綺
棉,綿
綿,緜
惣,総
綜,総
総,總
緕,纃
綫,線
棉,緜
綿,緜
縄,繩
県,縣
縦,縱
縦,縱
累,縲
惣,總
綜,總
総,總
繊,纖
繊,纎
綉,繍
縄,繩
絵,繪
継,繼
繿,襤
緕,纃
続,續
纎,纖
繊,纎
纏,纒
纏,纒
繊,纖
纎,纖
缶,罐
欠,缺
歇,缺
櫑,罍
壜,罎
缶,罐
暃,罪
罰,罸
罰,罸
冪,羃
羇,羈
羇,覊
羇,羈
羈,覊
羣,群
羣,群
羮,羹
羮,羹
羽,羽
翆,翠
翆,翠
翻,飜
燿,耀
畊,耕
恥,耻
收,聚
収,聚
聚,蒐
聚,輯
聚,集
壻,聟
婿,聟
聡,聰
聨,聯
聨,連
聨,聯
聯,連
聡,聰
声,聲
聴,聽
聴,聽
粛,肅
宍,肉
疣,肬
毓,育
胆,膽
脈,脉
脈,脉
唇,脣
脳,腦
腟,膣
脳,腦
腮,顋
腸,膓
腸,膓
腟,膣
膸,髄
膸,髓
胆,膽
膾,鱠
臈,臘
臓,臟
臈,臘
臓,臟
台,臺
臺,颱
与,與
挙,舉
擧,舉
旧,舊
舍,舎
舍,舎
舖,舗
舖,補
舖,鋪
舖,舗
舗,補
舗,鋪
舘,館
舩,船
舮,艫
柁,舵
舩,船
舮,艫
艶,艷
艶,艷
芦,蘆
芸,藝
芻,蒭
刈,苅
叡,英
睿,英
苺,莓
茎,莖
荐,薦
荘,莊
荳,豆
荘,莊
苺,莓
茎,莖
兎,莵
兔,莵
莵,菟
兎,菟
兔,菟
莵,菟
菱,蔆
广,菴
庵,菴
帚,菷
箒,菷
粹,萃
粋,萃
萌,萠
萌,萠
万,萬
萼,蕚
盖,葢
葢,蓋
蒂,蔕
收,蒐
収,蒐
聚,蒐
蒐,輯
蒐,集
芻,蒭
盖,蓋
葢,蓋
簑,蓑
簔,蓑
菱,蔆
蒂,蔕
蔭,陰
蔵,藏
蕃,蛮
蕃,蠻
蕊,蕋
蕊,蘂
蕊,蕋
蕋,蘂
萼,蕚
薀,蘊
園,薗
荐,薦
熏,薫
燻,薫
薬,藥
籔,薮
薮,藪
薯,藷
稾,藁
稿,藁
蔵,藏
芸,藝
薬,藥
籔,藪
薮,藪
薯,藷
蕊,蘂
蕋,蘂
芦,蘆
蘇,蘓
薀,蘊
蘇,蘓
檗,蘗
盪,蘯
乕,虎
処,處
所,處
号,號
虫,蟲
