正字,異体字
鼠,鼡
双,雙
壮,壯
匝,帀
捜,搜
挿,插
挿,揷
掻,搔
曹,曺
巣,巢
争,爭
痩,瘦
痩,膄
窓,窗
窓,牕
窓,牎
窓,窻
総,總
総,緫
総,縂
聡,聰
聡,聦
聡,聪
荘,莊
荘,庄
荘,庒
葬,塟
装,裝
走,赱
騒,騷
増,增
臓,臟
蔵,藏
即,卽
属,屬
続,續
卒,卆
多,夛
堕,墮
舵,柁
楕,橢
陀,陁
駄,馱
騨,驒
体,躰
体,軆
体,體
体,骵
堆,垖
対,對
帯,帶
滞,滯
袋,帒
台,臺
滝,瀧
卓,桌
択,擇
沢,澤
鐸,鈬
達,逹
竪,豎
狸,貍
単,單
単,单
担,擔
箪,簞
耽,躭
胆,膽
鍛,煅
団,團
弾,彈
断,斷
恥,耻
痴,癡
稚,穉
稚,稺
遅,遲
蓄,稸
昼,晝
虫,蟲
鋳,鑄
瀦,潴
猪,豬
帳,賬
庁,廳
庁,廰
徴,徵
町,甼
聴,聽
腸,膓
長,镸
勅,敕
勅,勑
勅,欶
沈,沉
珍,珎
鎮,鎭
掴,摑
壷,壺
鶴,寉
鶴,靎
鶴,靍
鶴,靏
堤,埞
碇,椗
蹄,蹏
逓,遞
泥,坭
哲,喆
哲,嚞
哲,埑
哲,悊
鉄,銕
鉄,鐵
鉄,鐡
填,塡
纏,纒
転,轉
顛,顚
点,點
伝,傳
兎,兔
兎,莵
砺,礪
努,伮
土,圡
党,黨
島,嶌
島,嶋
島,隝
梼,檮
盗,盜
涛,濤
灯,燈
当,當
祷,禱
統,綂
逃,迯
闘,鬪
働,仂
同,仝
道,衟
徳,德
徳,悳
涜,瀆
独,獨
読,讀
栃,杤
突,宊
届,屆
酉,丣
呑,吞
奈,柰
内,內
縄,繩
楠,枏
楠,柟
二,弍
弐,貳
弐,貮
迩,邇
韮,韭
妊,姙
祢,禰
廼,迺
野,壄
野,墅
野,埜
嚢,囊
悩,惱
脳,腦
覇,霸
罵,駡
廃,廢
拝,拜
敗,贁
杯,盃
杯,桮
輩,軰
梅,楳
売,賣
蝿,蠅
蝿,蝇
矧,矤
剥,剝
迫,廹
麦,麥
函,凾
肇,肈
櫨,枦
鉢,缽
溌,潑
発,發
醗,醱
髪,髮
罰,罸
抜,拔
筏,栰
飯,飰
蛮,蠻
秘,祕
備,僃
備,俻
備,偹
毘,毗
稗,薭
髭,頾
彦,彥
弼,弻
筆,笔
桧,檜
姫,姬
氷,冰
廟,庿
廟,庙
彬,斌
彬,份
浜,濱
浜,濵
賓,賔
瓶,甁
富,冨
敷,旉
普,暜
膚,肤
譜,諩
舞,儛
部,郶
風,凬
風,凮
風,凨
淵,渕
淵,渊
払,拂
仏,佛
併,倂
幣,幤
並,竝
閉,閇
箆,篦
変,變
辺,邊
辺,邉
弁,辨
弁,辧
弁,瓣
弁,辯
舗,舖
舗,鋪
歩,步
穂,穗
宝,寶
宝,寳
宝,珤
宝,寚
